Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
Edison International (NYSE:EIX),NYSE:EIX,United States,North America,Electric Utilities,Services,Utilities,"$10,208 ","$9,670 ","$11,717 ","$11,436 ","$11,488 ","$12,135 ","$10,199 ","$11,852 ","$12,622 ","$13,113 ","$14,112 ","$12,361 ","$12,409 ","$12,760 ","$11,862 ","$12,581 ","$13,413 ","$11,524 ","$11,869 ","$11,869 "
"Henry Schein, Inc. (NasdaqGS:HSIC)",NasdaqGS:HSIC,United States,North America,Healthcare Distributors,Services,Health Care,"$1,922 ","$2,286 ","$2,382 ","$2,558 ","$2,825 ","$3,354 ","$4,060 ","$4,636 ","$5,153 ","$5,920 ","$6,395 ","$6,538 ","$7,527 ","$8,530 ","$8,940 ","$9,561 ","$10,371 ","$10,630 ","$11,572 ","$11,572 "
TDK Corporation (TSE:6762),TSE:6762,Japan,Asia-Pacific,Electronic Components,TIME,Tech HW Equipment,"$6,091 ","$5,912 ","$5,897 ","$6,032 ","$5,027 ","$5,323 ","$5,760 ","$5,751 ","$6,952 ","$7,537 ","$7,574 ","$6,360 ","$7,072 ","$7,656 ","$7,121 ","$7,445 ","$8,607 ","$9,438 ","$10,074 ","$10,202 "
The Estée Lauder Companies Inc. (NYSE:EL),NYSE:EL,United States,North America,Personal Products,Resources/Process Material,Personal & Household,"$3,618 ","$3,962 ","$4,367 ","$4,608 ","$4,744 ","$5,118 ","$5,790 ","$6,336 ","$6,464 ","$7,038 ","$7,911 ","$7,324 ","$7,796 ","$8,810 ","$9,714 ","$10,182 ","$10,969 ","$10,780 ","$11,262 ","$11,376 "
"Reinsurance Group of America, Incorporated (NYSE:RGA)",NYSE:RGA,United States,North America,Reinsurance,Services,Insurance,"$1,344 ","$1,607 ","$1,726 ","$1,968 ","$2,382 ","$3,161 ","$4,039 ","$4,585 ","$5,194 ","$5,718 ","$5,681 ","$7,023 ","$8,262 ","$8,764 ","$9,829 ","$10,272 ","$10,904 ","$10,418 ",$0 ,"$11,281 "
LendLease Group (ASX:LLC),ASX:LLC,Australia,Asia-Pacific,Diversified Real Estate Activities,Services,Real Estate,"$2,608 ","$3,122 ","$9,848 ","$8,678 ","$9,454 ","$7,663 ","$7,145 ","$7,227 ","$9,247 ","$10,933 ","$11,117 ","$11,149 ","$8,030 ","$6,764 ","$8,749 ","$9,251 ","$10,559 ","$10,083 ","$11,432 ","$11,891 "
Parker-Hannifin Corporation (NYSE:PH),NYSE:PH,United States,North America,Industrial Machinery,Engineering,Equipment Mech./Industrial,"$4,633 ","$4,959 ","$5,355 ","$5,980 ","$6,149 ","$6,411 ","$7,107 ","$8,215 ","$9,386 ","$10,718 ","$12,146 ","$10,309 ","$9,993 ","$12,346 ","$13,146 ","$13,016 ","$13,216 ","$12,712 ","$11,361 ","$11,200 "
"Conagra Brands, Inc. (NYSE:CAG)",NYSE:CAG,United States,North America,Packaged Foods and Meats,Resources/Process Material,Food,"$23,841 ","$24,594 ","$25,386 ","$27,194 ","$27,630 ","$19,839 ","$14,522 ","$14,567 ","$11,579 ","$12,028 ","$11,606 ","$12,731 ","$12,079 ","$12,303 ","$13,263 ","$15,491 ","$17,703 ","$15,832 ","$11,643 ","$11,215 "
"Dominion Resources, Inc. (NYSE:D)",NYSE:D,United States,North America,Multi-Utilities,Services,Utilities,"$6,086 ","$5,520 ","$9,260 ","$10,558 ","$10,218 ","$12,078 ","$13,972 ","$18,041 ","$16,482 ","$15,674 ","$16,290 ","$15,131 ","$15,197 ","$14,379 ","$13,093 ","$13,120 ","$12,436 ","$11,683 ",$0 ,"$11,737 "
Las Vegas Sands Corp. (NYSE:LVS),NYSE:LVS,United States,North America,Casinos and Gaming,Services,Entertainment,$1 ,$259 ,$590 ,$524 ,$572 ,$641 ,"$1,197 ","$1,741 ","$2,237 ","$2,951 ","$4,390 ","$4,563 ","$6,853 ","$9,411 ","$11,131 ","$13,770 ","$14,584 ","$11,688 ",$0 ,"$11,410 "
Vestas Wind Systems A/S (CPSE:VWS),CPSE:VWS,Denmark,Europe,Heavy Electrical Equipment,Engineering,Equipment Mech./Industrial,$401 ,$667 ,$913 ,"$1,347 ","$1,467 ","$1,739 ","$2,695 ","$3,769 ","$4,055 ","$5,114 ","$6,349 ","$6,982 ","$7,280 ","$6,140 ","$7,592 ","$6,401 ","$7,270 ","$8,951 ","$10,770 ","$10,770 "
Standard Life plc (LSE:SL.),LSE:SL.,United Kingdom,Europe,Life and Health Insurance,Services,Insurance,"$16,076 ","$18,463 ","$14,679 ","$6,360 ","$18,308 ","$21,052 ","$20,986 ","$15,369 ","$10,565 ","$10,679 ","($2,874)","$10,246 ","$13,293 ","$11,799 ","$14,061 ","$10,249 ","$12,734 ","$6,178 ",$0 ,"$12,690 "
