Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
"Wal-Mart Stores, Inc. (NYSE:WMT)",NYSE:WMT,United States,North America,Hypermarkets and Super Centers,Services,Retail,"$119,299 ","$139,208 ","$166,809 ","$193,295 ","$219,812 ","$246,525 ","$258,681 ","$287,989 ","$315,654 ","$348,650 ","$378,799 ","$405,607 ","$408,214 ","$421,849 ","$446,950 ","$469,162 ","$476,294 ","$485,651 ","$482,130 ","$484,604 "
Toyota Motor Corporation (TSE:7203),TSE:7203,Japan,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$102,102 ","$111,541 ","$112,603 ","$114,855 ","$132,071 ","$135,527 ","$151,204 ","$162,192 ","$183,921 ","$209,373 ","$229,841 ","$179,486 ","$165,684 ","$166,058 ","$162,473 ","$192,903 ","$224,619 ","$237,441 ","$248,322 ","$237,161 "
Volkswagen Aktiengesellschaft (XTRA:VOW3),XTRA:VOW3,Germany,Europe,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$72,212 ","$79,081 ","$90,011 ","$96,518 ","$94,692 ","$94,641 ","$93,596 ","$100,229 ","$110,337 ","$114,568 ","$119,735 ","$110,665 ","$133,482 ","$167,634 ","$202,710 ","$207,267 ","$213,002 ","$226,665 ",$0 ,"$224,052 "
Royal Dutch Shell plc (ENXTAM:RDSA),ENXTAM:RDSA,Netherlands,Europe,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$93,692 ","$105,366 ","$149,146 ","$135,211 ","$179,431 ","$201,728 ","$265,190 ","$306,731 ","$318,845 ","$355,782 ","$458,361 ","$278,188 ","$368,056 ","$470,171 ","$467,153 ","$451,235 ","$421,105 ","$264,960 ",$0 ,"$226,970 "
Apple Inc. (NasdaqGS:AAPL),NasdaqGS:AAPL,United States,North America,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,"$5,941 ","$6,134 ","$7,983 ","$5,363 ","$5,742 ","$6,207 ","$8,279 ","$13,931 ","$19,315 ","$24,006 ","$32,479 ","$36,537 ","$65,225 ","$108,249 ","$156,508 ","$170,910 ","$182,795 ","$233,715 ","$215,639 ","$218,118 "
Berkshire Hathaway Inc. (NYSE:BRK.A),NYSE:BRK.A,United States,North America,Multi-Sector Holdings,Services,Holding Company,"$11,417 ","$22,663 ","$30,021 ","$36,305 ","$40,219 ","$58,637 ","$69,684 ","$73,913 ","$95,118 ","$110,930 ","$106,636 ","$113,444 ","$132,417 ","$140,796 ","$159,429 ","$176,616 ","$189,666 ","$199,938 ",$0 ,"$214,596 "
Exxon Mobil Corporation (NYSE:XOM),NYSE:XOM,United States,North America,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$100,697 ","$160,883 ","$206,083 ","$187,510 ","$178,909 ","$213,199 ","$263,989 ","$328,213 ","$335,086 ","$358,600 ","$425,071 ","$275,564 ","$341,578 ","$433,526 ","$420,714 ","$390,247 ","$364,763 ","$236,810 ","$197,518 ","$197,518 "
McKesson Corporation (NYSE:MCK),NYSE:MCK,United States,North America,Healthcare Distributors,Services,Health Care,"$20,857 ","$30,382 ","$36,734 ","$42,010 ","$50,006 ","$57,121 ","$69,506 ","$80,515 ","$88,050 ","$92,977 ","$101,703 ","$106,632 ","$108,702 ","$112,084 ","$122,734 ","$122,455 ","$137,609 ","$179,045 ","$190,884 ","$196,498 "
UnitedHealth Group Incorporated (NYSE:UNH),NYSE:UNH,United States,North America,Managed Healthcare,Services,Health Care,"$17,355 ","$19,562 ","$21,122 ","$23,454 ","$25,020 ","$28,823 ","$37,218 ","$45,365 ","$71,542 ","$75,431 ","$81,186 ","$87,138 ","$94,155 ","$101,862 ","$110,618 ","$122,489 ","$130,474 ","$157,107 ","$184,840 ","$184,840 "
Samsung Electronics Co. Ltd. (KOSE:A005930),KOSE:A005930,South Korea,Asia-Pacific,"Technology Hardware, Storage and Peripherals",TIME,Tech HW Equipment,"$22,466 ","$27,972 ","$37,944 ","$40,486 ","$51,928 ","$56,503 ","$71,449 ","$70,287 ","$74,468 ","$85,872 ","$105,735 ","$121,164 ","$134,795 ","$143,836 ","$175,307 ","$199,357 ","$179,755 ","$175,217 ",$0 ,"$175,972 "
BP p.l.c. (LSE:BP.),LSE:BP.,United Kingdom,Europe,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$69,651 ","$84,724 ","$149,662 ","$175,421 ","$179,683 ","$234,009 ","$285,059 ","$239,956 ","$266,134 ","$284,365 ","$361,143 ","$239,691 ","$297,513 ","$375,917 ","$375,580 ","$379,631 ","$353,568 ","$223,279 ",$0 ,"$181,847 "
CVS Health Corporation (NYSE:CVS),NYSE:CVS,United States,North America,Drug Retail,Services,Retail,"$15,274 ","$18,098 ","$20,088 ","$22,241 ","$24,182 ","$26,588 ","$30,594 ","$37,006 ","$43,814 ","$76,330 ","$87,472 ","$98,729 ","$96,413 ","$107,100 ","$123,133 ","$126,761 ","$139,367 ","$153,290 ","$177,526 ","$177,526 "
Daimler AG (XTRA:DAI),XTRA:DAI,Germany,Europe,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$138,645 ","$157,796 ","$170,841 ","$160,834 ","$157,373 ","$143,542 ","$149,457 ","$157,576 ","$159,389 ","$104,575 ","$100,866 ","$83,034 ","$102,852 ","$112,088 ","$120,249 ","$124,126 ","$136,635 ","$158,838 ","$161,243 ","$161,243 "
Glencore Plc (LSE:GLEN),LSE:GLEN,Switzerland,Europe,Diversified Metals and Mining,Resources/Process Material,Mining,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$91,031 ","$116,530 ","$142,343 ","$152,236 ","$106,364 ","$144,978 ","$186,152 ","$214,436 ","$232,694 ","$221,073 ","$170,497 ",$0 ,"$166,065 "
AT&T Inc. (NYSE:T),NYSE:T,United States,North America,Integrated Telecommunication Services,TIME,Telecome Operators,"$28,777 ","$49,489 ","$51,476 ","$45,908 ","$43,138 ","$40,843 ","$40,787 ","$43,862 ","$63,055 ","$118,928 ","$124,028 ","$123,018 ","$124,280 ","$126,723 ","$127,434 ","$128,752 ","$132,447 ","$146,801 ","$163,786 ","$163,786 "
General Motors Company (NYSE:GM),NYSE:GM,United States,North America,Automobile Manufacturers,Auto & Transportation,Auto OEM,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$179,984 ","$148,979 ","$104,589 ","$135,592 ","$150,276 ","$152,256 ","$155,427 ","$155,929 ","$152,356 ","$166,380 ","$166,380 "
Ford Motor Company (NYSE:F),NYSE:F,United States,North America,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$144,416 ","$162,558 ","$170,064 ","$162,412 ","$163,420 ","$165,066 ","$171,652 ","$177,089 ","$160,123 ","$172,455 ","$146,277 ","$118,308 ","$128,954 ","$136,264 ","$134,252 ","$146,917 ","$144,077 ","$149,558 ","$151,800 ","$151,800 "
AmerisourceBergen Corporation (NYSE:ABC),NYSE:ABC,United States,North America,Healthcare Distributors,Services,Health Care,"$8,669 ","$9,807 ","$11,645 ","$16,191 ","$45,235 ","$49,657 ","$53,179 ","$54,577 ","$61,203 ","$66,074 ","$70,190 ","$71,760 ","$77,954 ","$80,218 ","$79,490 ","$87,959 ","$119,569 ","$135,962 ","$146,850 ","$148,310 "
"Hon Hai Precision Industry Co., Ltd. (TSEC:2317)",TSEC:2317,Taiwan,Asia-Pacific,Electronic Manufacturing Services,TIME,Tech HW Equipment,"$1,293 ","$1,881 ","$3,167 ","$4,982 ","$8,345 ","$12,026 ","$17,534 ","$29,519 ","$42,747 ","$55,124 ","$63,147 ","$63,429 ","$97,035 ","$111,781 ","$126,437 ","$127,956 ","$136,402 ","$145,430 ",$0 ,"$141,971 "
"Honda Motor Co., Ltd. (TSE:7267)",TSE:7267,Japan,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$52,454 ","$54,477 ","$53,321 ","$56,512 ","$64,368 ","$69,693 ","$71,364 ","$75,626 ","$86,623 ","$96,933 ","$104,938 ","$87,526 ","$75,006 ","$78,133 ","$69,489 ","$86,361 ","$103,536 ","$116,200 ","$127,655 ","$121,469 "
AXA SA (ENXTPA:CS),ENXTPA:CS,France,Europe,Multi-line Insurance,Services,Insurance,"$74,485 ","$86,446 ","$105,623 ","$78,295 ","$66,107 ","$103,601 ","$102,499 ","$109,935 ","$117,177 ","$125,105 ","$57,688 ","$132,779 ","$129,058 ","$107,057 ","$126,542 ","$131,470 ","$127,825 ","$123,823 ",$0 ,"$121,912 "
"Amazon.com, Inc. (NasdaqGS:AMZN)",NasdaqGS:AMZN,United States,North America,Internet and Direct Marketing Retail,TIME,Online Retail,$610 ,"$1,640 ","$2,762 ","$3,122 ","$3,933 ","$5,264 ","$6,921 ","$8,490 ","$10,711 ","$14,835 ","$19,166 ","$24,509 ","$34,204 ","$48,077 ","$61,093 ","$74,452 ","$88,988 ","$107,006 ","$135,987 ","$135,987 "
Verizon Communications Inc. (NYSE:VZ),NYSE:VZ,United States,North America,Integrated Telecommunication Services,TIME,Telecome Operators,"$31,566 ","$33,174 ","$64,707 ","$67,190 ","$67,625 ","$67,752 ","$71,283 ","$75,112 ","$88,144 ","$93,469 ","$97,354 ","$107,808 ","$106,565 ","$110,875 ","$115,846 ","$120,550 ","$127,079 ","$131,620 ","$125,980 ","$125,980 "
E.ON SE (DB:EOAN),DB:EOAN,Germany,Europe,Multi-Utilities,Services,Utilities,"$41,078 ","$51,513 ","$77,904 ","$73,476 ","$38,007 ","$44,756 ","$47,075 ","$54,554 ","$67,540 ","$72,854 ","$91,824 ","$86,638 ","$98,318 ","$119,382 ","$139,373 ","$129,221 ","$117,729 ","$124,013 ",$0 ,"$118,787 "
"Cardinal Health, Inc. (NYSE:CAH)",NYSE:CAH,United States,North America,Healthcare Distributors,Services,Health Care,"$15,918 ","$25,034 ","$29,871 ","$47,948 ","$51,136 ","$56,737 ","$65,054 ","$74,911 ","$81,364 ","$86,852 ","$91,091 ","$99,512 ","$98,503 ","$102,644 ","$107,552 ","$101,093 ","$91,084 ","$102,531 ","$121,546 ","$127,236 "
Fiat Chrysler Automobiles N.V. (BIT:FCA),BIT:FCA,United Kingdom,Europe,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$50,922 ","$53,987 ","$63,167 ","$64,060 ","$61,742 ","$52,586 ","$50,836 ","$48,968 ","$54,531 ","$61,577 ","$62,472 ","$52,711 ","$37,749 ","$62,661 ","$88,329 ","$91,337 ","$101,094 ","$117,329 ",$0 ,"$116,281 "
TOTAL S.A. (ENXTPA:FP),ENXTPA:FP,France,Europe,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$25,600 ","$28,706 ","$120,523 ","$110,803 ","$107,880 ","$110,102 ","$129,090 ","$129,004 ","$139,599 ","$143,950 ","$168,681 ","$117,994 ","$147,792 ","$175,224 ","$191,793 ","$180,594 ","$212,018 ","$143,421 ",$0 ,"$123,350 "
General Electric Company (NYSE:GE),NYSE:GE,United States,North America,Industrial Conglomerates,Engineering,Equipment Mech./Industrial,"$100,348 ","$111,108 ","$129,909 ","$125,835 ","$130,778 ","$133,994 ","$151,616 ","$148,019 ","$160,657 ","$172,797 ","$182,515 ","$156,783 ","$150,211 ","$143,595 ","$147,359 ","$145,715 ","$148,462 ","$116,048 ",$0 ,"$120,058 "
Costco Wholesale Corporation (NasdaqGS:COST),NasdaqGS:COST,United States,North America,Hypermarkets and Super Centers,Services,Retail,"$24,270 ","$27,456 ","$32,164 ","$34,797 ","$38,762 ","$42,546 ","$48,107 ","$52,935 ","$60,151 ","$64,853 ","$72,483 ","$71,422 ","$77,946 ","$88,915 ","$99,137 ","$105,156 ","$112,640 ","$116,199 ","$118,719 ","$119,598 "
Allianz SE (DB:ALV),DB:ALV,Germany,Europe,Multi-line Insurance,Services,Insurance,"$61,393 ","$73,043 ","$78,753 ","$89,776 ","$93,122 ","$92,338 ","$97,213 ","$99,622 ","$101,785 ","$103,363 ","$82,784 ","$89,551 ","$97,156 ","$95,094 ","$104,388 ","$105,818 ","$103,363 ","$112,109 ",$0 ,"$107,625 "
"Walgreens Boots Alliance, Inc. (NasdaqGS:WBA)",NasdaqGS:WBA,United States,North America,Drug Retail,Services,Retail,"$15,307 ","$17,839 ","$21,207 ","$24,623 ","$28,681 ","$32,505 ","$37,508 ","$42,202 ","$47,409 ","$53,762 ","$59,034 ","$63,335 ","$67,420 ","$72,184 ","$71,633 ","$72,217 ","$76,392 ","$103,444 ","$117,351 ","$116,819 "
"Nissan Motor Co., Ltd. (TSE:7201)",TSE:7201,Japan,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$57,393 ","$57,528 ","$52,256 ","$53,240 ","$54,172 ","$59,701 ","$64,952 ","$74,981 ","$82,430 ","$91,525 ","$94,634 ","$73,763 ","$65,722 ","$76,701 ","$82,261 ","$84,189 ","$91,646 ","$99,174 ","$106,570 ","$100,640 "
"Ping An Insurance (Group) Company of China, Ltd. (SEHK:2318)",SEHK:2318,China,Asia-Pacific,Life and Health Insurance,Services,Insurance,$0 ,$0 ,$0 ,"$6,074 ","$8,530 ","$9,673 ","$9,183 ","$9,449 ","$12,793 ","$20,107 ","$13,894 ","$22,238 ","$28,549 ","$39,811 ","$48,047 ","$61,672 ","$77,448 ","$100,709 ",$0 ,"$110,452 "
The Kroger Co. (NYSE:KR),NYSE:KR,United States,North America,Food Retail,Services,Retail,"$28,203 ","$25,925 ","$45,352 ","$49,000 ","$50,098 ","$51,760 ","$53,791 ","$56,434 ","$60,553 ","$66,111 ","$70,235 ","$76,000 ","$76,733 ","$82,189 ","$90,374 ","$96,751 ","$98,375 ","$108,465 ","$109,830 ","$113,891 "
Nippon Telegraph and Telephone Corporation (TSE:9432),TSE:9432,Japan,Asia-Pacific,Integrated Telecommunication Services,TIME,Telecome Operators,"$82,619 ","$85,064 ","$90,779 ","$99,039 ","$100,854 ","$95,499 ","$97,006 ","$94,473 ","$93,907 ","$94,077 ","$93,381 ","$91,068 ","$89,014 ","$90,094 ","$91,864 ","$93,554 ","$95,516 ","$96,733 ","$100,900 ","$99,721 "
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),DB:BMW,Germany,Europe,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$33,961 ","$36,194 ","$37,197 ","$40,466 ","$44,484 ","$43,688 ","$46,644 ","$49,086 ","$51,551 ","$58,935 ","$55,967 ","$53,320 ","$63,627 ","$72,405 ","$80,850 ","$80,019 ","$84,588 ","$97,954 ",$0 ,"$99,113 "
Express Scripts Holding Company (NasdaqGS:ESRX),NasdaqGS:ESRX,United States,North America,Healthcare Services,Services,Health Care,"$2,825 ","$4,288 ","$6,779 ","$9,329 ","$12,261 ","$13,295 ","$15,115 ","$16,266 ","$17,660 ","$18,274 ","$21,978 ","$24,749 ","$44,973 ","$46,128 ","$93,858 ","$104,099 ","$100,887 ","$101,752 ","$100,288 ","$100,288 "
Chevron Corporation (NYSE:CVX),NYSE:CVX,United States,North America,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$26,187 ","$31,538 ","$46,532 ","$97,863 ","$91,685 ","$112,937 ","$142,897 ","$184,922 ","$195,341 ","$203,970 ","$255,112 ","$159,293 ","$189,607 ","$236,286 ","$222,579 ","$211,665 ","$192,308 ","$122,566 ",$0 ,"$103,310 "
Public Joint Stock Company Gazprom (MISX:GAZP),MISX:GAZP,Russia,Emerging,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$4,313 ","$5,683 ","$9,211 ","$10,565 ","$10,998 ","$13,985 ","$16,663 ","$23,603 ","$36,714 ","$40,780 ","$60,032 ","$51,025 ","$61,364 ","$79,107 ","$79,593 ","$87,778 ","$93,440 ","$102,880 ",$0 ,"$105,572 "
The Boeing Company (NYSE:BA),NYSE:BA,United States,North America,Aerospace and Defense,Auto & Transportation,Aerospace,"$56,154 ","$57,993 ","$51,321 ","$58,198 ","$54,069 ","$50,485 ","$52,457 ","$54,845 ","$61,530 ","$66,387 ","$60,909 ","$68,281 ","$64,306 ","$68,735 ","$81,698 ","$86,623 ","$90,762 ","$96,114 ","$94,571 ","$94,571 "
"Hitachi, Ltd. (TSE:6501)",TSE:6501,Japan,Asia-Pacific,Electronic Equipment and Instruments,TIME,Tech HW Equipment,"$73,587 ","$69,744 ","$69,953 ","$73,829 ","$69,888 ","$71,619 ","$75,472 ","$78,922 ","$82,749 ","$89,595 ","$98,153 ","$87,431 ","$78,410 ","$81,446 ","$84,507 ","$79,044 ","$84,072 ","$85,222 ","$87,728 ","$81,512 "
"The Home Depot, Inc. (NYSE:HD)",NYSE:HD,United States,North America,Home Improvement Retail,Services,Retail,"$24,156 ","$30,219 ","$38,434 ","$45,738 ","$53,553 ","$58,247 ","$64,816 ","$73,094 ","$81,511 ","$90,837 ","$77,349 ","$71,288 ","$66,176 ","$67,997 ","$70,395 ","$74,754 ","$78,812 ","$83,176 ","$88,519 ","$93,368 "
Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),BOVESPA:PETR4,Brazil,Emerging,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$5,768 ","$9,475 ","$15,939 ","$18,414 ","$22,148 ","$30,654 ","$48,155 ","$43,737 ","$50,664 ","$54,615 ","$68,875 ","$58,499 ","$68,285 ","$78,179 ","$90,090 ","$97,618 ","$107,982 ","$101,652 ",$0 ,"$96,748 "
Nestlé S.A. (SWX:NESN),SWX:NESN,Switzerland,Europe,Packaged Foods and Meats,Resources/Process Material,Food,"$70,940 ","$73,821 ","$80,507 ","$83,746 ","$88,158 ","$86,990 ","$85,794 ","$90,051 ","$97,351 ","$106,343 ","$108,672 ","$99,448 ","$103,437 ","$82,828 ","$91,286 ","$91,335 ","$90,832 ","$88,328 ","$88,777 ","$88,777 "
JPMorgan Chase & Co. (NYSE:JPM),NYSE:JPM,United States,North America,Diversified Banks,Services,Financial Services,"$17,313 ","$20,596 ","$31,557 ","$25,865 ","$25,283 ","$31,716 ","$40,553 ","$51,050 ","$58,167 ","$67,208 ","$60,705 ","$79,619 ","$86,055 ","$89,660 ","$91,658 ","$96,381 ","$91,066 ","$89,202 ",$0 ,"$88,915 "
Siemens Aktiengesellschaft (DB:SIE),DB:SIE,Germany,Europe,Industrial Conglomerates,Engineering,Equipment Mech./Industrial,"$63,311 ","$72,153 ","$81,519 ","$91,531 ","$88,391 ","$78,099 ","$79,082 ","$79,374 ","$91,873 ","$76,221 ","$81,354 ","$80,643 ","$79,935 ","$77,344 ","$82,373 ","$79,834 ","$75,665 ","$80,378 ","$83,792 ","$84,032 "
Assicurazioni Generali S.p.A. (BIT:G),BIT:G,Italy,Europe,Multi-line Insurance,Services,Insurance,"$40,989 ","$50,019 ","$55,853 ","$53,885 ","$55,696 ","$62,001 ","$69,550 ","$83,841 ","$82,931 ","$85,021 ","$65,301 ","$89,652 ","$90,890 ","$77,200 ","$94,557 ","$87,309 ","$89,022 ","$92,747 ",$0 ,"$84,631 "
SoftBank Group Corp. (TSE:9984),TSE:9984,Japan,Asia-Pacific,Wireless Telecommunication Services,TIME,Telecome Operators,"$4,488 ","$4,618 ","$3,700 ","$3,472 ","$3,544 ","$3,557 ","$4,523 ","$7,318 ","$9,693 ","$22,244 ","$24,271 ","$23,370 ","$24,160 ","$26,269 ","$27,998 ","$29,536 ","$58,285 ","$75,590 ","$80,028 ","$78,028 "
Alphabet Inc. (NasdaqGS:GOOGL),NasdaqGS:GOOGL,United States,North America,Internet Software and Services,TIME,SW & Computer Services,$0 ,$0 ,$0 ,$86 ,$348 ,$962 ,"$3,189 ","$6,139 ","$10,605 ","$16,594 ","$21,796 ","$23,651 ","$29,321 ","$37,905 ","$50,175 ","$59,825 ","$66,001 ","$74,989 ","$90,272 ","$90,272 "
Carrefour SA (ENXTPA:CA),ENXTPA:CA,France,Europe,Hypermarkets and Super Centers,Services,Retail,"$28,836 ","$39,310 ","$68,177 ","$73,105 ","$72,308 ","$74,157 ","$76,452 ","$79,440 ","$83,055 ","$87,397 ","$92,561 ","$91,642 ","$95,777 ","$86,545 ","$82,018 ","$80,161 ","$79,820 ","$83,290 ",$0 ,"$80,957 "
Microsoft Corporation (NasdaqGS:MSFT),NasdaqGS:MSFT,United States,North America,Systems Software,TIME,SW & Computer Services,"$14,484 ","$19,747 ","$22,956 ","$25,296 ","$28,365 ","$32,187 ","$36,835 ","$39,788 ","$44,282 ","$51,122 ","$60,420 ","$58,437 ","$62,484 ","$69,943 ","$73,723 ","$77,849 ","$86,833 ","$93,580 ","$85,320 ","$85,688 "
Hyundai Motor Company (KOSE:A005380),KOSE:A005380,South Korea,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,"$8,570 ","$21,313 ","$28,347 ","$34,740 ","$41,950 ","$40,612 ","$46,289 ","$51,284 ","$55,484 ","$60,673 ","$69,508 ","$79,731 ","$98,147 ","$67,818 ","$73,634 ","$76,108 ","$77,807 ","$80,301 ",$0 ,"$81,834 "
Uniper SE (DB:UN01),DB:UN01,Germany,Europe,Independent Power Producers and Energy Traders,Resources/Process Material,Energy,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$99,973 ","$93,132 ","$98,160 ",$0 ,"$79,604 "
Wells Fargo & Company (NYSE:WFC),NYSE:WFC,United States,North America,Diversified Banks,Services,Financial Services,"$13,547 ","$15,746 ","$18,437 ","$18,391 ","$22,711 ","$26,830 ","$28,342 ","$30,622 ","$33,500 ","$35,854 ","$33,779 ","$85,915 ","$69,342 ","$73,032 ","$78,876 ","$81,456 ","$82,980 ","$83,690 ",$0 ,"$84,550 "
Industrial and Commercial Bank of China Limited (SEHK:1398),SEHK:1398,China,Asia-Pacific,Diversified Banks,Services,Financial Services,$0 ,$0 ,"$12,335 ","$13,525 ","$9,808 ","$10,996 ","$9,459 ","$21,056 ","$21,954 ","$31,746 ","$37,274 ","$41,545 ","$51,320 ","$63,786 ","$72,101 ","$78,551 ","$83,986 ","$84,215 ",$0 ,"$81,375 "
"Anthem, Inc. (NYSE:ANTM)",NYSE:ANTM,United States,North America,Managed Healthcare,Services,Health Care,"$5,674 ","$6,270 ","$8,771 ","$10,420 ","$13,282 ","$16,773 ","$20,815 ","$45,136 ","$56,953 ","$61,134 ","$61,251 ","$61,236 ","$58,802 ","$60,711 ","$61,712 ","$71,024 ","$73,874 ","$79,157 ","$84,863 ","$84,863 "
Public Joint Stock Company Oil Company LUKOIL (MISX:LKOH),MISX:LKOH,Russia,Emerging,Integrated Oil and Gas,Resources/Process Material,Oil & Gas,"$1,323 ","$7,288 ","$13,010 ","$11,970 ","$13,338 ","$20,563 ","$31,524 ","$52,441 ","$64,239 ","$81,891 ","$107,680 ","$81,083 ","$104,956 ","$133,650 ","$139,171 ","$141,452 ","$144,167 ","$97,387 ",$0 ,"$88,605 "
Electricite de France SA (ENXTPA:EDF),ENXTPA:EDF,France,Europe,Electric Utilities,Services,Utilities,"$32,392 ","$34,992 ","$37,542 ","$44,000 ","$52,097 ","$47,258 ","$49,372 ","$53,710 ","$62,001 ","$62,743 ","$67,627 ","$69,791 ","$68,559 ","$68,708 ","$76,517 ","$79,531 ","$76,669 ","$79,709 ","$74,911 ","$74,911 "
Deutsche Telekom AG (DB:DTE),DB:DTE,Germany,Europe,Integrated Telecommunication Services,TIME,Telecome Operators,"$39,055 ","$38,314 ","$43,980 ","$51,750 ","$57,047 ","$58,746 ","$60,894 ","$62,708 ","$64,542 ","$65,772 ","$64,877 ","$67,966 ","$65,672 ","$61,708 ","$61,198 ","$63,264 ","$65,921 ","$73,569 ",$0 ,"$75,174 "
International Business Machines Corporation (NYSE:IBM),NYSE:IBM,United States,North America,IT Consulting and Other Services,TIME,SW & Computer Services,"$81,667 ","$87,548 ","$88,396 ","$85,866 ","$81,186 ","$89,131 ","$96,293 ","$91,134 ","$91,423 ","$98,785 ","$103,630 ","$95,759 ","$99,870 ","$106,916 ","$104,507 ","$99,751 ","$92,793 ","$81,741 ",$0 ,"$80,208 "
Bank of America Corporation (NYSE:BAC),NYSE:BAC,United States,North America,Diversified Banks,Services,Financial Services,"$28,584 ","$30,637 ","$30,421 ","$30,826 ","$31,427 ","$35,988 ","$48,248 ","$53,161 ","$67,570 ","$63,593 ","$53,518 ","$104,773 ","$81,785 ","$78,844 ","$75,165 ","$85,386 ","$81,972 ","$79,346 ",$0 ,"$80,104 "
Comcast Corporation (NasdaqGS:CMCS.A),NasdaqGS:CMCS.A,United States,North America,Cable and Satellite,TIME,Tech HW Equipment,"$5,145 ","$6,209 ","$8,219 ","$9,674 ","$12,460 ","$18,348 ","$20,307 ","$22,255 ","$24,966 ","$30,895 ","$34,256 ","$35,756 ","$37,937 ","$55,842 ","$62,570 ","$64,657 ","$68,775 ","$74,510 ","$80,403 ","$80,403 "
Enel SpA (BIT:ENEL),BIT:ENEL,Italy,Europe,Electric Utilities,Services,Utilities,"$22,664 ","$22,051 ","$26,417 ","$30,280 ","$31,538 ","$32,948 ","$38,389 ","$35,695 ","$40,401 ","$45,874 ","$63,976 ","$66,936 ","$76,790 ","$82,699 ","$88,148 ","$82,254 ","$78,046 ","$78,650 ",$0 ,"$73,089 "
"JX Holdings, Inc. (TSE:5020)",TSE:5020,Japan,Asia-Pacific,Oil and Gas Refining and Marketing,Resources/Process Material,Oil & Gas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$84,231 ","$93,757 ","$98,089 ","$108,516 ","$94,878 ","$76,393 ","$68,423 "
"SK Holdings Co., Ltd. (KOSE:A034730)",KOSE:A034730,South Korea,Asia-Pacific,Industrial Conglomerates,Engineering,Equipment Mech./Industrial,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$982 ,"$58,100 ","$77,876 ","$72,036 ","$79,525 ","$1,483 ","$1,954 ","$2,006 ","$2,115 ","$34,554 ",$0 ,"$73,891 "
Sony Corporation (TSE:6758),TSE:6758,Japan,Asia-Pacific,Consumer Electronics,TIME,Tech HW Equipment,"$59,062 ","$59,404 ","$58,460 ","$63,952 ","$66,255 ","$65,340 ","$65,539 ","$62,595 ","$65,356 ","$72,527 ","$77,561 ","$67,582 ","$63,070 ","$62,784 ","$56,558 ","$59,213 ","$67,807 ","$71,574 ","$70,867 ","$65,779 "
Toyota Tsusho Corporation (TSE:8015),TSE:8015,Japan,Asia-Pacific,Trading Companies and Distributors,Services,Trading & Distribution,"$17,556 ","$15,192 ","$14,909 ","$18,860 ","$19,721 ","$22,525 ","$24,373 ","$28,990 ","$34,493 ","$54,317 ","$61,203 ","$54,966 ","$44,608 ","$50,215 ","$51,729 ","$55,118 ","$67,697 ","$75,531 ","$71,431 ","$67,492 "
Valero Energy Corporation (NYSE:VLO),NYSE:VLO,United States,North America,Oil and Gas Refining and Marketing,Resources/Process Material,Oil & Gas,"$5,539 ","$7,961 ","$14,671 ","$14,988 ","$26,976 ","$37,969 ","$53,919 ","$81,362 ","$91,033 ","$94,527 ","$118,298 ","$67,271 ","$81,342 ","$125,095 ","$138,286 ","$138,074 ","$130,844 ","$87,804 ",$0 ,"$70,166 "
